IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,28930,10.215.173.2,53,10356,Tank Company,com.netease.tankcompany,DNS,Closed,h67naxx2gb.gph.easebar.com,72,244,1,1,2026-02-02T20:46:09.673+08:00,2026-02-02T20:46:09.689+08:00
17,10.215.173.1,65058,10.215.173.2,53,10356,Tank Company,com.netease.tankcompany,DNS,Closed,h67naxx2gb.gph.easebar.com,72,220,1,1,2026-02-02T20:46:09.677+08:00,2026-02-02T20:46:09.693+08:00
17,10.215.173.1,40265,10.215.173.2,53,10356,Tank Company,com.netease.tankcompany,DNS,Closed,h67naxx2gb.update.easebar.com,75,178,1,1,2026-02-02T20:46:09.680+08:00,2026-02-02T20:46:09.696+08:00
6,10.215.173.1,41246,161.49.36.97,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,h67naxx2gb.gph.easebar.com,29476,16915409,702,2152,2026-02-02T20:46:09.698+08:00,2026-02-02T20:46:14.663+08:00
6,10.215.173.1,45658,23.217.147.202,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,h67naxx2gb.update.easebar.com,1233,6472,9,9,2026-02-02T20:46:10.622+08:00,2026-02-02T20:46:11.287+08:00
6,10.215.173.1,45668,23.217.147.202,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,h67naxx2gb.update.easebar.com,1193,6432,8,8,2026-02-02T20:46:10.631+08:00,2026-02-02T20:46:11.288+08:00
6,10.215.173.1,45670,23.217.147.202,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,h67naxx2gb.update.easebar.com,1193,6432,8,8,2026-02-02T20:46:10.638+08:00,2026-02-02T20:46:11.287+08:00
6,10.215.173.1,45680,23.217.147.202,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,h67naxx2gb.update.easebar.com,1249,5853,9,8,2026-02-02T20:46:11.363+08:00,2026-02-02T20:46:12.814+08:00
6,10.215.173.1,45682,23.217.147.202,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,h67naxx2gb.update.easebar.com,1245,4073,10,9,2026-02-02T20:46:11.389+08:00,2026-02-02T20:46:12.814+08:00
6,10.215.173.1,57852,34.36.163.39,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,mcount.easebar.com,1676,5748,8,8,2026-02-02T20:46:11.514+08:00,2026-02-02T20:46:14.768+08:00
6,10.215.173.1,42950,34.120.31.123,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,applog.matrix.easebar.com,1764,5907,8,8,2026-02-02T20:46:11.527+08:00,2026-02-02T20:46:14.769+08:00
17,10.215.173.1,46259,10.215.173.2,53,10356,Tank Company,com.netease.tankcompany,DNS,Closed,kiwarb-launches.appsflyersdk.com,78,142,1,1,2026-02-02T20:46:12.257+08:00,2026-02-02T20:46:12.302+08:00
6,10.215.173.1,40054,143.204.249.228,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,kiwarb-launches.appsflyersdk.com,4384,5816,10,10,2026-02-02T20:46:12.308+08:00,2026-02-02T20:46:14.757+08:00
17,10.215.173.1,45181,10.215.173.2,53,10356,Tank Company,com.netease.tankcompany,DNS,Closed,firebaselogging.googleapis.com,76,140,1,1,2026-02-02T20:46:15.983+08:00,2026-02-02T20:46:16.001+08:00
6,10.215.173.1,45936,216.239.32.223,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Error,firebaselogging.googleapis.com,1927,6233,10,9,2026-02-02T20:46:16.006+08:00,2026-02-02T20:46:18.752+08:00
17,10.215.173.1,44434,10.215.173.2,53,10356,Tank Company,com.netease.tankcompany,DNS,Closed,g0.gsf.easebar.com,64,173,1,1,2026-02-02T20:46:18.292+08:00,2026-02-02T20:46:18.314+08:00
17,10.215.173.1,40304,10.215.173.2,53,10356,Tank Company,com.netease.tankcompany,DNS,Closed,g0.gsf.easebar.com,64,173,1,1,2026-02-02T20:46:18.297+08:00,2026-02-02T20:46:18.315+08:00
17,10.215.173.1,51345,10.215.173.2,53,10356,Tank Company,com.netease.tankcompany,DNS,Closed,data-detect.nie.easebar.com,73,177,1,1,2026-02-02T20:46:18.300+08:00,2026-02-02T20:46:18.315+08:00
6,10.215.173.1,47766,8.221.190.98,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,unisdk.proxima.nie.easebar.com,2255,5084,15,16,2026-02-02T20:46:18.302+08:00,2026-02-02T20:46:19.622+08:00
6,10.215.173.1,45872,54.65.224.103,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,who.nie.easebar.com,1264,5276,9,11,2026-02-02T20:46:18.306+08:00,2026-02-02T20:46:18.930+08:00
17,10.215.173.1,61701,10.215.173.2,53,10356,Tank Company,com.netease.tankcompany,DNS,Closed,protocol.unisdk.easebar.com,73,191,1,1,2026-02-02T20:46:18.313+08:00,2026-02-02T20:46:18.328+08:00
6,10.215.173.1,58198,202.69.184.115,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,g0.gsf.easebar.com,1315,5089,11,11,2026-02-02T20:46:18.318+08:00,2026-02-02T20:46:18.810+08:00
6,10.215.173.1,58208,202.69.184.115,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,g0.gsf.easebar.com,1267,5024,10,10,2026-02-02T20:46:18.321+08:00,2026-02-02T20:46:18.724+08:00
6,10.215.173.1,57044,8.221.194.248,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,data-detect.nie.easebar.com,1734,4663,12,13,2026-02-02T20:46:18.323+08:00,2026-02-02T20:46:19.014+08:00
6,10.215.173.1,41072,202.69.184.99,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Error,protocol.unisdk.easebar.com,3498,48270,20,24,2026-02-02T20:46:18.330+08:00,2026-02-02T20:46:19.291+08:00
17,10.215.173.1,23152,10.215.173.2,53,10356,Tank Company,com.netease.tankcompany,DNS,Closed,translate.mpsdk.easebar.com,73,192,1,1,2026-02-02T20:46:18.363+08:00,2026-02-02T20:46:18.378+08:00
6,10.215.173.1,51824,202.69.184.113,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,translate.mpsdk.easebar.com,1378,5366,11,11,2026-02-02T20:46:18.381+08:00,2026-02-02T20:46:18.782+08:00
6,10.215.173.1,47792,34.36.163.39,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,mcount.easebar.com,2149,6824,10,11,2026-02-02T20:46:18.429+08:00,2026-02-02T20:46:19.063+08:00
6,10.215.173.1,35526,34.120.31.123,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,applog.matrix.easebar.com,1779,5947,9,9,2026-02-02T20:46:18.722+08:00,2026-02-02T20:46:19.759+08:00
6,10.215.173.1,58210,202.69.184.115,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Error,g0.gsf.easebar.com,1360,2991,10,10,2026-02-02T20:46:18.737+08:00,2026-02-02T20:46:19.346+08:00
6,10.215.173.1,43640,34.49.114.55,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Error,appdump.nie.easebar.com,1600,6243,9,8,2026-02-02T20:46:18.835+08:00,2026-02-02T20:46:20.583+08:00
6,10.215.173.1,57054,8.221.194.248,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,data-detect.nie.easebar.com,1690,906,9,9,2026-02-02T20:46:18.947+08:00,2026-02-02T20:46:21.384+08:00
6,10.215.173.1,43654,34.49.114.55,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Error,appdump.nie.easebar.com,289143,5750,39,10,2026-02-02T20:46:18.990+08:00,2026-02-02T20:46:30.197+08:00
6,10.215.173.1,38714,57.144.228.141,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,graph.facebook.com,4897,25362,25,25,2026-02-02T20:46:19.055+08:00,2026-02-02T20:47:23.839+08:00
17,10.215.173.1,22744,10.215.173.2,53,10356,Tank Company,com.netease.tankcompany,DNS,Closed,kiwarb-launches.appsflyersdk.com,78,142,1,1,2026-02-02T20:46:19.458+08:00,2026-02-02T20:46:19.474+08:00
6,10.215.173.1,53202,3.170.244.62,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Error,kiwarb-launches.appsflyersdk.com,3264,5816,11,10,2026-02-02T20:46:19.478+08:00,2026-02-02T20:46:30.287+08:00
6,10.215.173.1,47774,8.221.190.98,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,unisdk.proxima.nie.easebar.com,1418,1020,9,9,2026-02-02T20:46:20.319+08:00,2026-02-02T20:46:34.765+08:00
17,10.215.173.1,10484,10.215.173.2,53,10356,Tank Company,com.netease.tankcompany,DNS,Closed,drpf-h67naxx2gb.proxima.nie.easebar.com,85,117,1,1,2026-02-02T20:46:20.984+08:00,2026-02-02T20:46:20.993+08:00
6,10.215.173.1,54822,23.217.147.202,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,h67naxx2gb.update.easebar.com,1500,4908,9,10,2026-02-02T20:46:20.988+08:00,2026-02-02T20:47:25.453+08:00
6,10.215.173.1,39550,8.221.190.190,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Error,drpf-h67naxx2gb.proxima.nie.easebar.com,33408,14268,52,51,2026-02-02T20:46:20.999+08:00,2026-02-02T20:47:24.274+08:00
6,10.215.173.1,54826,23.217.147.202,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,h67naxx2gb.update.easebar.com,1205,4114,9,10,2026-02-02T20:46:23.496+08:00,2026-02-02T20:46:23.623+08:00
17,10.215.173.1,42472,10.215.173.2,53,10356,Tank Company,com.netease.tankcompany,DNS,Closed,optsdk.gameyw.easebar.com,142,187,2,1,2026-02-02T20:46:24.616+08:00,2026-02-02T20:46:29.631+08:00
17,10.215.173.1,28534,10.215.173.2,53,10356,Tank Company,com.netease.tankcompany,DNS,Closed,h67naxx2gb.update.easebar.com,75,218,1,1,2026-02-02T20:46:25.475+08:00,2026-02-02T20:46:25.492+08:00
17,10.215.173.1,32161,10.215.173.2,53,10356,Tank Company,com.netease.tankcompany,DNS,Closed,h67naxx2gb.update.easebar.com,75,218,1,1,2026-02-02T20:46:25.477+08:00,2026-02-02T20:46:25.493+08:00
6,10.215.173.1,54838,23.217.147.202,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,h67naxx2gb.update.easebar.com,1233,6470,9,9,2026-02-02T20:46:25.500+08:00,2026-02-02T20:46:26.382+08:00
6,10.215.173.1,54848,23.217.147.202,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,h67naxx2gb.update.easebar.com,1233,6511,9,10,2026-02-02T20:46:25.503+08:00,2026-02-02T20:46:26.381+08:00
6,10.215.173.1,36050,8.221.212.39,21308,10356,Tank Company,com.netease.tankcompany,TCP,Closed,s.q.easebar.com,1894,608,16,15,2026-02-02T20:46:29.582+08:00,2026-02-02T20:52:53.500+08:00
